03/13/2020 07:49:29 PM 
------------ Options -------------
data-dir: ../../datasets/CASIA-WebFace
batch_size: 200
epochs: 3
training_name: test
Opt: 1
Opt_level: O2
Cropping: 0
-------------- End ---------------
03/13/2020 07:49:39 PM Valid |    55/419  | loss:    9.8637 | fps: 2900.9998 | acc:    0.0000   
03/13/2020 07:49:39 PM Valid |    56/419  | loss:    9.8642 | fps: 2901.7185 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    57/419  | loss:    9.8646 | fps: 2903.0491 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    58/419  | loss:    9.8633 | fps: 2903.8494 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    59/419  | loss:    9.8629 | fps: 2905.1030 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    60/419  | loss:    9.8620 | fps: 2902.7788 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    61/419  | loss:    9.8616 | fps: 2906.1489 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    62/419  | loss:    9.8609 | fps: 2905.0454 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    63/419  | loss:    9.8607 | fps: 2906.3074 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    64/419  | loss:    9.8610 | fps: 2905.7134 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    65/419  | loss:    9.8606 | fps: 2909.1396 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    66/419  | loss:    9.8615 | fps: 2910.5352 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    67/419  | loss:    9.8635 | fps: 2910.9995 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    68/419  | loss:    9.8619 | fps: 2910.4888 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    69/419  | loss:    9.8612 | fps: 2912.2415 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    70/419  | loss:    9.8603 | fps: 2912.7515 | acc:    0.0000   
03/13/2020 07:49:40 PM Valid |    71/419  | loss:    9.8609 | fps: 2913.3201 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    72/419  | loss:    9.8619 | fps: 2915.1177 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    73/419  | loss:    9.8622 | fps: 2916.4597 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    74/419  | loss:    9.8617 | fps: 2917.6416 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    75/419  | loss:    9.8620 | fps: 2916.0330 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    76/419  | loss:    9.8627 | fps: 2919.0388 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    77/419  | loss:    9.8624 | fps: 2919.0356 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    78/419  | loss:    9.8630 | fps: 2918.8274 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    79/419  | loss:    9.8632 | fps: 2921.0652 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    80/419  | loss:    9.8631 | fps: 2919.6597 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    81/419  | loss:    9.8631 | fps: 2920.9705 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    82/419  | loss:    9.8627 | fps: 2922.1543 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    83/419  | loss:    9.8629 | fps: 2922.0925 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    84/419  | loss:    9.8632 | fps: 2921.0852 | acc:    0.0000   
03/13/2020 07:49:41 PM Valid |    85/419  | loss:    9.8629 | fps: 2921.9089 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    86/419  | loss:    9.8633 | fps: 2922.4646 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    87/419  | loss:    9.8634 | fps: 2922.9617 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    88/419  | loss:    9.8630 | fps: 2923.5466 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    89/419  | loss:    9.8630 | fps: 2923.9783 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    90/419  | loss:    9.8634 | fps: 2923.8906 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    91/419  | loss:    9.8629 | fps: 2924.9365 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    92/419  | loss:    9.8626 | fps: 2923.5449 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    93/419  | loss:    9.8627 | fps: 2924.7910 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    94/419  | loss:    9.8626 | fps: 2925.4575 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    95/419  | loss:    9.8626 | fps: 2926.5884 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    96/419  | loss:    9.8626 | fps: 2926.5479 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    97/419  | loss:    9.8625 | fps: 2927.1411 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    98/419  | loss:    9.8630 | fps: 2926.4041 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |    99/419  | loss:    9.8631 | fps: 2925.9846 | acc:    0.0000   
03/13/2020 07:49:42 PM Valid |   100/419  | loss:    9.8626 | fps: 2925.4719 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   101/419  | loss:    9.8627 | fps: 2926.8879 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   102/419  | loss:    9.8629 | fps: 2927.1619 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   103/419  | loss:    9.8631 | fps: 2928.4365 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   104/419  | loss:    9.8633 | fps: 2927.8281 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   105/419  | loss:    9.8641 | fps: 2928.9077 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   106/419  | loss:    9.8635 | fps: 2929.7498 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   107/419  | loss:    9.8634 | fps: 2930.7397 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   108/419  | loss:    9.8636 | fps: 2930.5686 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   109/419  | loss:    9.8635 | fps: 2930.8806 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   110/419  | loss:    9.8639 | fps: 2931.6326 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   111/419  | loss:    9.8636 | fps: 2932.9629 | acc:    0.0000   
